price,clarity,table,carat,x,depth,color,z,y,cut
326.0,0.42857142857142855,55.0,0.23,3.95,61.5,0.16666666666666666,2.43,3.98,0.5
326.0,0.2857142857142857,61.0,0.21,3.89,59.8,0.16666666666666666,2.31,3.84,0.75
327.0,0.5714285714285714,65.0,0.23,4.05,56.9,0.16666666666666666,2.31,4.07,0.25
334.0,0.7142857142857142,58.0,0.29,4.2,62.4,0.8333333333333333,2.63,4.23,0.75
335.0,0.42857142857142855,58.0,0.31,4.34,63.3,1.0,2.75,4.35,0.25
336.0,1.0,57.0,0.24,3.94,62.8,1.0,2.48,3.96,1.0
336.0,0.8571428571428571,57.0,0.24,3.95,62.3,0.8333333333333333,2.47,3.98,1.0
337.0,0.2857142857142857,55.0,0.26,4.07,61.9,0.6666666666666666,2.53,4.11,1.0
337.0,0.7142857142857142,61.0,0.22,3.87,65.1,0.16666666666666666,2.49,3.78,0.0
338.0,0.5714285714285714,61.0,0.23,4.0,59.4,0.6666666666666666,2.39,4.05,1.0
339.0,0.2857142857142857,55.0,0.3,4.25,64.0,1.0,2.73,4.28,0.25
340.0,0.5714285714285714,56.0,0.23,3.93,62.8,1.0,2.46,3.9,0.5
342.0,0.2857142857142857,61.0,0.22,3.88,60.4,0.3333333333333333,2.33,3.84,0.75
344.0,0.42857142857142855,54.0,0.31,4.35,62.2,1.0,2.71,4.37,0.5
345.0,0.42857142857142855,62.0,0.2,3.79,60.2,0.16666666666666666,2.27,3.75,0.75
345.0,0.0,58.0,0.32,4.38,60.9,0.16666666666666666,2.68,4.42,0.75
348.0,0.42857142857142855,54.0,0.3,4.31,62.0,0.8333333333333333,2.68,4.34,0.5
351.0,0.2857142857142857,54.0,0.3,4.23,63.4,1.0,2.7,4.29,0.25
351.0,0.2857142857142857,56.0,0.3,4.23,63.8,1.0,2.71,4.26,0.25
351.0,0.2857142857142857,59.0,0.3,4.21,62.7,1.0,2.66,4.27,1.0
351.0,0.42857142857142855,56.0,0.3,4.26,63.3,0.8333333333333333,2.71,4.3,0.25
352.0,0.7142857142857142,55.0,0.23,3.85,63.8,0.16666666666666666,2.48,3.92,1.0
353.0,0.5714285714285714,57.0,0.23,3.94,61.0,0.6666666666666666,2.41,3.96,1.0
353.0,0.2857142857142857,62.0,0.31,4.39,59.4,1.0,2.62,4.43,1.0
353.0,0.2857142857142857,62.0,0.31,4.44,58.1,1.0,2.59,4.47,1.0
354.0,1.0,58.0,0.23,3.97,60.4,0.5,2.41,4.01,1.0
